id,a1,a2,a3,n1,n2,n3,e1,e2,e3,f1,f2,f3,h1,h2,h3,origination,classes,contribution,csat,intent,treatment
ZZ5Y8KRG,7,5,6,2,3,2,1,2,2,4,4,4,4,4,3,2021,42,388.78,4,4,Subscription
BSY3UQK4,6,7,5,2,1,1,7,7,7,4,3,3,6,6,5,2016,231,2403.93,5,6,New Product
IQS5X01P,4,5,6,2,1,1,1,1,1,1,1,1,1,1,1,2021,48,389.09,6,3,Subscription
QVPNES90,7,7,7,1,1,1,7,6,6,6,6,5,7,6,7,2014,513,4812.88,4,5,Ad
NWC42HTR,5,3,5,2,1,2,3,2,1,1,1,1,1,2,1,2022,16,152.25,6,3,Subscription
IRLFRO9N,6,5,7,3,4,4,2,2,2,2,2,3,3,3,1,2022,29,282.37,5,4,New Product
8K7YK9D3,3,3,3,2,2,3,3,3,3,4,3,3,6,6,6,2019,156,1897.71,3,4,Subscription
PTVI58EO,6,7,6,4,2,2,6,7,7,5,4,4,7,7,6,2013,310,2842.05,5,5,New Product
DTOAM7XQ,5,5,4,3,3,4,5,5,4,5,5,4,3,4,4,2018,175,1849.45,3,4,Control
TQAM9JQH,5,7,4,1,1,1,3,3,4,6,5,6,7,7,6,2015,424,3792.56,3,5,New Product
UR7HS4HU,7,6,5,3,3,3,3,3,3,2,3,1,3,3,3,2022,27,269.31,6,5,Subscription
XVAKYV9U,3,4,4,4,4,4,5,5,5,7,5,5,7,7,7,2022,27,273.97,2,4,Ad
C7RT7P27,7,7,7,3,2,2,7,7,7,7,7,7,6,6,6,2013,180,2025.51,3,6,Subscription
14F7PEM3,6,6,5,5,5,5,3,3,3,2,3,2,5,4,4,2021,42,364.27,5,3,Control
UU605HZI,2,2,1,2,2,1,3,3,2,2,1,2,7,6,6,2018,160,1458.51,4,2,Ad
GJWOLEBS,4,4,5,5,4,6,4,4,4,4,4,4,6,6,6,2020,111,1234.98,4,5,Subscription
8DX7M1EV,5,5,6,5,5,6,5,4,4,5,4,3,6,5,5,2022,41,477.65,4,3,Ad
M30HOWXO,4,5,4,3,2,4,2,4,4,4,3,4,4,4,4,2019,152,1574.97,4,4,New Product
6NL31OC8,3,3,4,3,2,4,4,4,4,2,2,1,5,6,5,2013,380,4456.5,5,4,New Product
PPTM8NFE,5,7,4,1,1,1,6,3,4,5,6,5,7,6,7,2013,520,5005.9,3,5,Control
DID4DUE5,4,5,6,5,4,5,5,5,5,7,5,7,7,7,7,2013,320,3542.03,2,4,Ad
33XAORHP,5,7,3,2,1,1,5,5,4,6,5,5,7,7,7,2014,387,4117.3,3,4,Subscription
DZ61KQON,5,6,6,2,3,3,1,2,2,2,2,2,3,3,4,2022,21,168.63,5,4,Subscription
V44QLMGP,7,7,6,3,3,2,7,7,7,7,6,4,7,6,6,2016,308,3635.57,4,5,Control
2VZHTM3N,6,5,6,5,4,4,2,2,1,1,1,1,1,1,1,2022,23,208.32,6,4,Control
UMTMNGOH,4,2,4,3,2,2,1,2,1,1,1,1,2,3,2,2022,20,189.81,5,3,New Product
25Q452YY,6,5,4,4,4,3,1,1,2,1,2,1,3,3,2,2022,26,236.67,6,4,Control
